Item,Qty,Reference(s),Value,Manufacturer,mpn,populate
1,1,C1,10uF,KYOCERA AVX,KGM15CR51A106MT,1
2,3,"C2, C3, C4",100nF,KYOCERA AVX,KGM15AR51H104KT,1
3,1,J1,S2B-PH-SM4,JST Sales America Inc.,S2B-PH-SM4-TB(LF)(SN),1
4,1,J2,MEM2061,GCT,MEM2061-01-188-00-A,1
5,1,J3,STEMMA_QT,JST Sales America Inc.,SM04B-SRSS-TB,1
6,2,"Q1, Q2",IRLML6244TRPBF,Infineon Technologies,IRLML6244TRPBF,1
7,1,Q3,DMP2035UVTQ-7,Diodes Incorporated,DMP2035UVTQ-7,1
8,1,Q4,DMP2035UVTQ-7,Diodes Incorporated,DMP2035UVTQ-7,1
9,10,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10",10K,Vishay Dale,CRCW060310K0JNEB,1
10,2,"R11, R12",0R,Vishay Dale,CRCW06030000Z0EA,1
11,1,SW1,SS-12F44-G5,C&K,SS-12D07-VG 4 NS GA PA,0
12,4,"SW2, SW3, SW4, SW5",PTS647SM38SMTR2LFS,C&K,PTS 647 SM38 SMTR2 LFS,1
13,1,U1,XIAO RP2040,Seeed Studio,XIAO RP2040,0
14,1,U2,BME280,Bosch Sensortec,BME280,1
15,1,U3,HS96L03W2C03,SHENZHEN HANSHENG INDUSTRAIL CO.,HS96L03W2C03,0
